GROUP STAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GOALS,,,,CARDS,,,,CORNERS,,,,,,,xG,,SHOTS,,"SHOTS ON
TARGET",,FOULS,
Date,Team 1,Result,,Team 2,1H,,2H,,YEL,,RED,,1H C,,2H C,,MC,,T,,,,,,,,
11-07-26,Norway,1,2,England,1,1,0,0,1,0,0,0,0,2,5,1,7,4,11,0.68,1.04,13,14,4,8,10,8
11-07-26,Argentina,3,1,Switzerland,1,0,0,1,3,2,0,1,2,1,3,1,8,2,10,1.94,0.47,22,11,7,5,14,18
SEMI FINALS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GOALS,,,,CARDS,,,,CORNERS,,,,,,,xG,,SHOTS,,"SHOTS ON
TARGET",,FOULS,
Date,Team1,Result,,Team 2,1H,,2H,,YEL,,RED,,1H C,,2H C,,MC,,T,,,,,,,,
14-07-26,France,0,2,Spain,0,1,0,1,2,1,0,0,3,1,4,0,7,1,8,0.3,1.63,10,10,3,2,11,12
15-07-26,England,1,2,Argentina,0,0,1,2,1,3,0,0,1,1,0,5,1,6,7,0.53,1.84,5,15,2,5,11,15
FINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GOALS,,,,CARDS,,,,CORNERS,,,,,,,xG,,SHOTS,,"SHOTS ON
TARGET",,FOULS,
Date,Team1,Result,,Team 2,1H,,2H,,YEL,,RED,,1H C,,2H C,,MC,,T,,,,,,,,
19-07-26,Spain,1,0,Argentina,0,0,0,0,0,5,0,1,2,0,7,1,9,4,13,2.29,0.22,20,2,12,0,21,25
